"frequency";"r dBS21";"i dBS21"
13.1568;-1.67889e-12;0
13.2825;-1.70975e-12;0
13.4094;-1.75315e-12;0
13.5375;-1.77436e-12;0
13.6668;-1.81486e-12;0
13.7974;-1.84572e-12;0
13.9292;-1.87658e-12;0
14.0623;-1.91901e-12;0
14.1967;-1.95662e-12;0
14.3323;-1.99423e-12;0
14.4692;-2.03666e-12;0
14.6075;-2.07523e-12;0
14.7471;-2.10898e-12;0
14.888;-2.16009e-12;0
15.0302;-2.19288e-12;0
15.1738;-2.24303e-12;0
15.3188;-2.27774e-12;0
15.4651;-2.32499e-12;0
15.6129;-2.37321e-12;0
15.7621;-2.41275e-12;0
15.9127;-2.45904e-12;0
16.0647;-2.50147e-12;0
16.2182;-2.55933e-12;0
16.3731;-2.60368e-12;0
16.5296;-2.65576e-12;0
16.6875;-2.7059e-12;0
16.8469;-2.75798e-12;0
17.0079;-2.80716e-12;0
17.1704;-2.86309e-12;0
17.3345;-2.91613e-12;0
17.5001;-2.97784e-12;0
17.6673;-3.02992e-12;0
17.8361;-3.08874e-12;0
18.0065;-3.1466e-12;0
18.1785;-3.21025e-12;0
18.3522;-3.27196e-12;0
18.5276;-3.33079e-12;0
18.7046;-3.39636e-12;0
18.8833;-3.46483e-12;0
19.0637;-3.5304e-12;0
19.2458;-3.59501e-12;0
19.4297;-3.66637e-12;0
19.6154;-3.73291e-12;0
19.8028;-3.8062e-12;0
19.992;-3.88431e-12;0
20.183;-3.95374e-12;0
20.3758;-4.03378e-12;0
20.5705;-4.11189e-12;0
20.767;-4.18711e-12;0
20.9655;-4.26811e-12;0
21.1658;-4.35201e-12;0
21.368;-4.43398e-12;0
21.5722;-4.51691e-12;0
21.7783;-4.60177e-12;0
21.9863;-4.69627e-12;0
22.1964;-4.78306e-12;0
22.4085;-4.87564e-12;0
22.6226;-4.97207e-12;0
22.8387;-5.06079e-12;0
23.0569;-5.15819e-12;0
23.2772;-5.26041e-12;0
23.4996;-5.36166e-12;0
23.7241;-5.46002e-12;0
23.9508;-5.57574e-12;0
24.1796;-5.68182e-12;0
24.4107;-5.78404e-12;0
24.6439;-5.89783e-12;0
24.8793;-6.01355e-12;0
25.1171;-6.12541e-12;0
25.357;-6.24209e-12;0
25.5993;-6.36553e-12;0
25.8439;-6.48896e-12;0
26.0908;-6.61046e-12;0
26.3401;-6.73872e-12;0
26.5917;-6.86601e-12;0
26.8458;-6.99909e-12;0
27.1023;-7.1312e-12;0
27.3613;-7.26524e-12;0
27.6227;-7.40603e-12;0
27.8866;-7.54876e-12;0
28.153;-7.69726e-12;0
28.422;-7.84384e-12;0
28.6936;-7.9962e-12;0
28.9677;-8.1505e-12;0
29.2445;-8.30479e-12;0
29.5239;-8.4668e-12;0
29.806;-8.62494e-12;0
30.0907;-8.7937e-12;0
30.3782;-8.96825e-12;0
30.6685;-9.13507e-12;0
30.9615;-9.30865e-12;0
31.2573;-9.4832e-12;0
31.556;-9.66835e-12;0
31.8575;-9.85446e-12;0
32.1618;-1.00435e-11;0
32.4691;-1.02354e-11;0
32.7793;-1.0434e-11;0
33.0925;-1.06317e-11;0
33.4087;-1.08352e-11;0
33.7279;-1.10473e-11;0
34.0502;-1.12595e-11;0
34.3755;-1.14716e-11;0
34.7039;-1.16896e-11;0
35.0355;-1.1921e-11;0
35.3702;-1.21476e-11;0
35.7082;-1.23781e-11;0
36.0493;-1.26163e-11;0
36.3938;-1.28564e-11;0
36.7415;-1.31091e-11;0
37.0925;-1.33598e-11;0
37.4469;-1.36124e-11;0
37.8047;-1.38786e-11;0
38.1659;-1.41428e-11;0
38.5306;-1.44186e-11;0
38.8987;-1.46906e-11;0
39.2703;-1.4975e-11;0
39.6455;-1.52663e-11;0
40.0243;-1.55527e-11;0
40.4067;-1.58535e-11;0
40.7928;-1.61534e-11;0
41.1825;-1.64649e-11;0
41.576;-1.67812e-11;0
41.9732;-1.70995e-11;0
42.3743;-1.74321e-11;0
42.7791;-1.77726e-11;0
43.1879;-1.8113e-11;0
43.6005;-1.84572e-11;0
44.0171;-1.88082e-11;0
44.4376;-1.91708e-11;0
44.8622;-1.95402e-11;0
45.2908;-1.99153e-11;0
45.7235;-2.02972e-11;0
46.1604;-2.06819e-11;0
46.6014;-2.10898e-11;0
47.0467;-2.14949e-11;0
47.4962;-2.19018e-11;0
47.95;-2.23223e-11;0
48.4081;-2.27504e-11;0
48.8706;-2.31873e-11;0
49.3375;-2.36318e-11;0
49.8089;-2.4085e-11;0
50.2848;-2.45441e-11;0
50.7653;-2.50253e-11;0
51.2503;-2.55103e-11;0
51.7399;-2.59944e-11;0
52.2343;-2.64939e-11;0
52.7333;-2.70012e-11;0
53.2372;-2.75219e-11;0
53.7458;-2.80465e-11;0
54.2593;-2.85798e-11;0
54.7777;-2.91343e-11;0
55.3011;-2.96955e-11;0
55.8295;-3.02625e-11;0
56.3629;-3.0845e-11;0
56.9014;-3.14332e-11;0
57.4451;-3.20427e-11;0
57.9939;-3.26502e-11;0
58.548;-3.32867e-11;0
59.1074;-3.39212e-11;0
59.6721;-3.45615e-11;0
60.2422;-3.52327e-11;0
60.8178;-3.59135e-11;0
61.3989;-3.66001e-11;0
61.9855;-3.7304e-11;0
62.5778;-3.80186e-11;0
63.1756;-3.87505e-11;0
63.7792;-3.94979e-11;0
64.3886;-4.02587e-11;0
65.0038;-4.10263e-11;0
65.6249;-4.18142e-11;0
66.2519;-4.26156e-11;0
66.8849;-4.34333e-11;0
67.5239;-4.42675e-11;0
68.1691;-4.51151e-11;0
68.8204;-4.5984e-11;0
69.4779;-4.68682e-11;0
70.1417;-4.77641e-11;0
70.8119;-4.86889e-11;0
71.4884;-4.96185e-11;0
72.1715;-5.05722e-11;0
72.861;-5.15414e-11;0
73.5572;-5.25327e-11;0
74.2599;-5.35433e-11;0
74.9694;-5.45674e-11;0
75.6857;-5.56118e-11;0
76.4089;-5.6687e-11;0
77.1389;-5.77748e-11;0
77.8759;-5.88789e-11;0
78.62;-6.00101e-11;0
79.3711;-6.11557e-11;0
80.1295;-6.23389e-11;0
80.895;-6.35299e-11;0
81.6679;-6.47575e-11;0
82.4482;-6.59986e-11;0
83.236;-6.72686e-11;0
84.0312;-6.8556e-11;0
84.8341;-6.98723e-11;0
85.6446;-7.12194e-11;0
86.4629;-7.25743e-11;0
87.289;-7.39726e-11;0
88.123;-7.53959e-11;0
88.9649;-7.68395e-11;0
89.8149;-7.83188e-11;0
90.6731;-7.98193e-11;0
91.5394;-8.13565e-11;0
92.414;-8.29187e-11;0
93.2969;-8.4504e-11;0
94.1883;-8.61299e-11;0
95.0882;-8.77827e-11;0
95.9967;-8.94684e-11;0
96.9139;-9.11868e-11;0
97.8399;-9.294e-11;0
98.7747;-9.4724e-11;0
99.7184;-9.65369e-11;0
100.671;-9.83961e-11;0
101.633;-1.00286e-10;0
102.604;-1.02213e-10;0
103.584;-1.0417e-10;0
104.574;-1.06173e-10;0
105.573;-1.0821e-10;0
106.582;-1.10284e-10;0
107.6;-1.12404e-10;0
108.628;-1.14562e-10;0
109.666;-1.16765e-10;0
110.714;-1.19008e-10;0
111.772;-1.2129e-10;0
112.84;-1.23622e-10;0
113.918;-1.25989e-10;0
115.006;-1.28407e-10;0
116.105;-1.30879e-10;0
117.214;-1.33388e-10;0
118.334;-1.35948e-10;0
119.465;-1.38559e-10;0
120.606;-1.41222e-10;0
121.758;-1.43933e-10;0
122.922;-1.46697e-10;0
124.096;-1.49509e-10;0
125.282;-1.52387e-10;0
126.479;-1.55311e-10;0
127.687;-1.5829e-10;0
128.907;-1.61332e-10;0
130.139;-1.64422e-10;0
131.382;-1.67585e-10;0
132.638;-1.70804e-10;0
133.905;-1.74079e-10;0
135.184;-1.77425e-10;0
136.476;-1.80825e-10;0
137.78;-1.84293e-10;0
139.096;-1.87841e-10;0
140.425;-1.9145e-10;0
141.767;-1.95124e-10;0
143.121;-1.98872e-10;0
144.489;-2.02683e-10;0
145.869;-2.06573e-10;0
147.263;-2.10547e-10;0
148.67;-2.14589e-10;0
150.09;-2.18704e-10;0
151.524;-2.22904e-10;0
152.972;-2.27186e-10;0
154.434;-2.31549e-10;0
155.909;-2.35999e-10;0
157.399;-2.40524e-10;0
158.902;-2.45145e-10;0
160.421;-2.4985e-10;0
161.953;-2.54645e-10;0
163.501;-2.59531e-10;0
165.063;-2.64523e-10;0
166.64;-2.69598e-10;0
168.232;-2.74775e-10;0
169.839;-2.80054e-10;0
171.462;-2.85424e-10;0
173.1;-2.90903e-10;0
174.754;-2.96496e-10;0
176.424;-3.02186e-10;0
178.11;-3.07985e-10;0
179.811;-3.13895e-10;0
181.529;-3.19927e-10;0
183.264;-3.2607e-10;0
185.015;-3.3233e-10;0
186.782;-3.38712e-10;0
188.567;-3.45214e-10;0
190.368;-3.51839e-10;0
192.187;-3.58597e-10;0
194.024;-3.65483e-10;0
195.877;-3.72503e-10;0
197.749;-3.79657e-10;0
199.638;-3.86941e-10;0
201.546;-3.94368e-10;0
203.471;-4.01947e-10;0
205.415;-4.09661e-10;0
207.378;-4.17529e-10;0
209.359;-4.25541e-10;0
211.359;-4.33712e-10;0
213.379;-4.42038e-10;0
215.418;-4.50532e-10;0
217.476;-4.59176e-10;0
219.554;-4.67989e-10;0
221.651;-4.7698e-10;0
223.769;-4.86139e-10;0
225.907;-4.95474e-10;0
228.065;-5.04981e-10;0
230.244;-5.14675e-10;0
232.444;-5.24557e-10;0
234.665;-5.34632e-10;0
236.907;-5.44894e-10;0
239.171;-5.55362e-10;0
241.456;-5.6602e-10;0
243.763;-5.76894e-10;0
246.092;-5.87966e-10;0
248.443;-5.99252e-10;0
250.817;-6.1076e-10;0
253.213;-6.22484e-10;0
255.632;-6.34437e-10;0
258.075;-6.46616e-10;0
260.54;-6.59034e-10;0
263.03;-6.71692e-10;0
265.543;-6.84584e-10;0
268.08;-6.97729e-10;0
270.641;-7.11127e-10;0
273.227;-7.24778e-10;0
275.838;-7.3869e-10;0
278.473;-7.52872e-10;0
281.134;-7.67335e-10;0
283.82;-7.8206e-10;0
286.531;-7.9708e-10;0
289.269;-8.12386e-10;0
292.033;-8.27983e-10;0
294.823;-8.43882e-10;0
297.64;-8.60085e-10;0
300.484;-8.76595e-10;0
303.354;-8.93426e-10;0
306.253;-9.10582e-10;0
309.179;-9.28063e-10;0
312.133;-9.45886e-10;0
315.115;-9.64043e-10;0
318.126;-9.82547e-10;0
321.165;-1.00142e-09;0
324.234;-1.02064e-09;0
327.332;-1.04025e-09;0
330.459;-1.06021e-09;0
333.616;-1.08057e-09;0
336.804;-1.10132e-09;0
340.022;-1.12246e-09;0
343.27;-1.14401e-09;0
346.55;-1.16597e-09;0
349.861;-1.18837e-09;0
353.204;-1.21118e-09;0
356.579;-1.23443e-09;0
359.985;-1.25814e-09;0
363.425;-1.28229e-09;0
366.897;-1.30691e-09;0
370.403;-1.332e-09;0
373.942;-1.35758e-09;0
377.514;-1.38364e-09;0
381.121;-1.41021e-09;0
384.763;-1.43728e-09;0
388.439;-1.46488e-09;0
392.15;-1.49301e-09;0
395.897;-1.52167e-09;0
399.679;-1.55089e-09;0
403.498;-1.58067e-09;0
407.353;-1.61101e-09;0
411.245;-1.64195e-09;0
415.174;-1.67347e-09;0
419.141;-1.7056e-09;0
423.146;-1.73835e-09;0
427.189;-1.77173e-09;0
431.27;-1.80574e-09;0
435.391;-1.84041e-09;0
439.55;-1.87575e-09;0
443.75;-1.91176e-09;0
447.99;-1.94846e-09;0
452.27;-1.98588e-09;0
456.591;-2.02401e-09;0
460.954;-2.06287e-09;0
465.358;-2.10247e-09;0
469.804;-2.14284e-09;0
474.293;-2.18399e-09;0
478.824;-2.22592e-09;0
483.399;-2.26866e-09;0
488.018;-2.31222e-09;0
492.68;-2.35661e-09;0
497.387;-2.40185e-09;0
502.14;-2.44797e-09;0
506.937;-2.49497e-09;0
511.781;-2.54288e-09;0
516.67;-2.5917e-09;0
521.607;-2.64146e-09;0
526.591;-2.69217e-09;0
531.622;-2.74386e-09;0
536.701;-2.79655e-09;0
541.829;-2.85024e-09;0
547.006;-2.90497e-09;0
552.232;-2.96074e-09;0
557.508;-3.01759e-09;0
562.835;-3.07552e-09;0
568.212;-3.13458e-09;0
573.641;-3.19476e-09;0
579.122;-3.2561e-09;0
584.655;-3.31862e-09;0
590.241;-3.38233e-09;0
595.88;-3.44727e-09;0
601.574;-3.51346e-09;0
607.321;-3.58091e-09;0
613.124;-3.64967e-09;0
618.982;-3.71975e-09;0
624.896;-3.79117e-09;0
630.866;-3.86395e-09;0
636.894;-3.93814e-09;0
642.979;-4.01375e-09;0
649.122;-4.09082e-09;0
655.324;-4.16935e-09;0
661.585;-4.24942e-09;0
667.906;-4.33101e-09;0
674.288;-4.41416e-09;0
680.73;-4.49891e-09;0
687.234;-4.58528e-09;0
693.8;-4.67333e-09;0
700.429;-4.76305e-09;0
707.121;-4.85451e-09;0
713.877;-4.94771e-09;0
720.698;-5.04271e-09;0
727.584;-5.13952e-09;0
734.535;-5.2382e-09;0
741.553;-5.33878e-09;0
748.638;-5.44128e-09;0
755.791;-5.54575e-09;0
763.012;-5.65223e-09;0
770.302;-5.76075e-09;0
777.662;-5.87136e-09;0
785.092;-5.98409e-09;0
792.593;-6.09898e-09;0
800.166;-6.21608e-09;0
807.811;-6.33543e-09;0
815.529;-6.45707e-09;0
823.321;-6.58105e-09;0
831.187;-6.70741e-09;0
839.128;-6.83619e-09;0
847.146;-6.96744e-09;0
855.24;-7.10121e-09;0
863.411;-7.23756e-09;0
871.66;-7.37652e-09;0
879.988;-7.51815e-09;0
888.396;-7.66249e-09;0
896.884;-7.80962e-09;0
905.453;-7.95956e-09;0
914.104;-8.11239e-09;0
922.838;-8.26814e-09;0
931.655;-8.42689e-09;0
940.556;-8.58869e-09;0
949.543;-8.75359e-09;0
958.615;-8.92166e-09;0
967.774;-9.09296e-09;0
977.02;-9.26754e-09;0
986.355;-9.44548e-09;0
995.779;-9.62682e-09;0
1005.29;-9.81166e-09;0
1014.9;-1e-08;0
1024.59;-1.0192e-08;0
1034.38;-1.03877e-08;0
1044.27;-1.05872e-08;0
1054.24;-1.07904e-08;0
1064.32;-1.09976e-08;0
1074.49;-1.12088e-08;0
1084.75;-1.1424e-08;0
1095.12;-1.16433e-08;0
1105.58;-1.18669e-08;0
1116.14;-1.20947e-08;0
1126.81;-1.23269e-08;0
1137.57;-1.25636e-08;0
1148.44;-1.28048e-08;0
1159.41;-1.30507e-08;0
1170.49;-1.33013e-08;0
1181.67;-1.35566e-08;0
1192.96;-1.38169e-08;0
1204.36;-1.40822e-08;0
1215.87;-1.43526e-08;0
1227.49;-1.46282e-08;0
1239.21;-1.4909e-08;0
1251.05;-1.51953e-08;0
1263.01;-1.5487e-08;0
1275.07;-1.57844e-08;0
1287.26;-1.60874e-08;0
1299.55;-1.63963e-08;0
1311.97;-1.67111e-08;0
1324.51;-1.7032e-08;0
1337.16;-1.7359e-08;0
1349.94;-1.76923e-08;0
1362.83;-1.8032e-08;0
1375.86;-1.83782e-08;0
1389;-1.87311e-08;0
1402.27;-1.90907e-08;0
1415.67;-1.94572e-08;0
1429.2;-1.98308e-08;0
1442.85;-2.02116e-08;0
1456.64;-2.05996e-08;0
1470.55;-2.09951e-08;0
1484.6;-2.13982e-08;0
1498.79;-2.18091e-08;0
1513.11;-2.22278e-08;0
1527.56;-2.26546e-08;0
1542.16;-2.30896e-08;0
1556.89;-2.35329e-08;0
1571.77;-2.39847e-08;0
1586.79;-2.44452e-08;0
1601.95;-2.49146e-08;0
1617.25;-2.53929e-08;0
1632.7;-2.58805e-08;0
1648.3;-2.63774e-08;0
1664.05;-2.68838e-08;0
1679.95;-2.74e-08;0
1696;-2.79261e-08;0
1712.21;-2.84622e-08;0
1728.56;-2.90087e-08;0
1745.08;-2.95657e-08;0
1761.75;-3.01333e-08;0
1778.59;-3.07119e-08;0
1795.58;-3.13016e-08;0
1812.73;-3.19026e-08;0
1830.05;-3.25151e-08;0
1847.54;-3.31394e-08;0
1865.19;-3.37756e-08;0
1883.01;-3.44241e-08;0
1901;-3.50851e-08;0
1919.17;-3.57587e-08;0
1937.5;-3.64453e-08;0
1956.01;-3.7145e-08;0
1974.7;-3.78582e-08;0
1993.57;-3.85851e-08;0
2012.62;-3.93259e-08;0
2031.85;-4.0081e-08;0
2051.26;-4.08505e-08;0
2070.86;-4.16349e-08;0
2090.64;-4.24342e-08;0
2110.62;-4.3249e-08;0
2130.78;-4.40793e-08;0
2151.14;-4.49257e-08;0
2171.69;-4.57883e-08;0
2192.44;-4.66674e-08;0
2213.39;-4.75634e-08;0
2234.54;-4.84766e-08;0
